No;"Jenis Faskes";"Kode Sarana / Faskes";"Kode SatuSehat Kemenkes";"Nama Fasilitas Kesehatan";"Kategori / Subjenis";"Alamat Lengkap";"Kode Provinsi";"Nama Provinsi";"Kode Kab/Kota";"Nama Kab/Kota";"Kode Kecamatan";"Nama Kecamatan";Latitude;Longitude;"No Telepon";Email;Website;"Status Operasional";"Status Aktif"
1;"Rumah Sakit";5303045;1000262529;"RS Umum Daerah Naibonat";"Rumah Sakit Umum";"Jl. Timor Raya KM.37 Oelamasi, Kupang";53;"Nusa Tenggara Timur";5301;"Kab. Kupang";530106;"Kupang Timur";-10.184;123.595;81337574455;rsnaibonat@yahoo.com;www.rsnaibonat.wordpress.com;Operasional;Aktif
2;"Rumah Sakit";5303056;1000669210;"RS Umum Pusat dr. Ben Mboi";"Rumah Sakit Umum";"Jl. Viquam RT.15/RW.5 Kel. Manulai II Kec. Alak, Kota Kupang Provinsi Nusa Tenggara Timur 85238 Indonesia";53;"Nusa Tenggara Timur";5301;"Kab. Kupang";;;-10.22185;123.57966;082147038684;rsupkupang@gmail.com;rsupbenmboi.com;Operasional;Aktif
3;"Rumah Sakit";5304026;5304026;"RS Pratama Kualin";"Rumah Sakit Umum";"Jl. Poros Panite, Desa Tuafanu, Kecamatan Kualin, Kab.TTS, Prov. NTT";53;"Nusa Tenggara Timur";5302;"Kab. Timor Tengah Selatan";;;-10.1436169;124.377882;;082174964986@domain.com;;Non-Operasional;Aktif
4;"Rumah Sakit";5304015;1000282232;"RS Umum Muder Ignacia";"Rumah Sakit Umum";"Jalan Kakatua No. 38 Kelurahan Nunumeu Kecamatan Kota Soe";53;"Nusa Tenggara Timur";5302;"Kab. Timor Tengah Selatan";530201;"Kota Soe";-2.41856;108.49191;082147043847;"rsu_muderignacia@yahoo. com";rsumuderignacia.co.id;Operasional;Aktif
5;"Rumah Sakit";5304014;1000262658;"RS Umum Soe";"Rumah Sakit Umum";"Jl. Boegenville No.7 Soe - Timor Tengah Selatan";53;"Nusa Tenggara Timur";5302;"Kab. Timor Tengah Selatan";530201;"Kota Soe";-9.6964;124.481;0388-21005;rsud_soe@yahoo.co.id;;Operasional;Aktif
6;"Rumah Sakit";5305024;5305024;"RS Umum Bunda Pembantu Abadi Naob";"Rumah Sakit Umum";"Desa Naob Kecamatan Noemuti Timur";53;"Nusa Tenggara Timur";5303;"Kab. Timor Tengah Utara";;;-9.6059222;124.5994768;081314539947;alexiamariaprr@yahoo.com;;Operasional;Aktif
7;"Rumah Sakit";5305015;1000261549;"RS Umum Daerah Kefamenanu";"Rumah Sakit Umum";"Jl. Letjen Suprapto Kefamenanu";53;"Nusa Tenggara Timur";5303;"Kab. Timor Tengah Utara";530305;"Kota Kefamenanu";-9.4379;124.471;(0388)31149;kefarsud.blud@gmail.com;http://www.rsudkefamenanu.com;Operasional;Aktif
8;"Rumah Sakit";5305025;1000271099;"RS Umum Leona";"Rumah Sakit Umum";"Jl. Eltari Kelurahan MAUBELI, Kecamatan: Kota Kefamenanu";53;"Nusa Tenggara Timur";5303;"Kab. Timor Tengah Utara";530305;"Kota Kefamenanu";-2.41856;108.49191;3882430113;rsuleonakefa@gmail.com;"tidak ada";Operasional;Aktif
9;"Rumah Sakit";5306020;1000284204;"RS Katholik Marianum Halilulik";"Rumah Sakit Umum";"Jl. Raya Halilulik - Betun, Dusun Halibaurenes";53;"Nusa Tenggara Timur";5304;"Kab. Belu";530404;"Tasifeto Barat";-9.27542;124.87702;081353703253;halilulikmarianum20@gmail.com;;Operasional;Aktif
10;"Rumah Sakit";5306031;1000284448;"RS Sito Husada";"Rumah Sakit Umum";"Jl. KH.Dewantara No.15,Atambua Belu";53;"Nusa Tenggara Timur";5304;"Kab. Belu";530421;"Atambua Barat";-10.1772;123.60703;081366373077;sitohusadars@gmail.com;xxx;Operasional;Aktif
