No;"Kode Wilayah Kab/Kota";"Nama Kabupaten / Kota";"Rumah Sakit (RS)";Puskesmas;"Klinik Pratama/Utama";"Puskesmas Pembantu (Pustu)";"Total Fasyankes";"Posyandu Terdata"
1;5301;"Kab. Kupang";2;26;6;152;186;791
2;5302;"Kab. Timor Tengah Selatan";3;37;8;120;168;903
3;5303;"Kab. Timor Tengah Utara";3;26;11;44;84;527
4;5304;"Kab. Belu";5;17;10;15;47;451
5;5305;"Kab. Alor";2;27;6;46;81;465
6;5306;"Kab. Flores Timur";2;21;10;49;82;577
7;5307;"Kab. Sikka";3;25;12;55;95;686
8;5308;"Kab. Ende";3;26;12;54;95;681
9;5309;"Kab. Ngada";1;24;3;33;61;391
10;5310;"Kab. Manggarai";3;24;6;55;88;602
11;5311;"Kab. Sumba Timur";3;24;5;80;112;616
12;5312;"Kab. Sumba Barat";3;10;5;5;23;265
13;5313;"Kab. Lembata";3;12;2;32;49;315
14;5314;"Kab. Rote Ndao";1;12;3;105;121;431
15;5315;"Kab. Manggarai Barat";3;22;12;32;69;574
16;5316;"Kab. Nagekeo";2;9;7;33;51;302
17;5317;"Kab. Sumba Tengah";1;10;1;12;24;216
18;5318;"Kab. Sumba Barat Daya";2;16;6;34;58;613
19;5319;"Kab. Manggarai Timur";2;29;3;45;79;602
20;5320;"Kab. Sabu Raijua";2;6;0;57;65;251
21;5321;"Kab. Malaka";1;20;6;27;54;485
22;5371;"Kota Kupang";14;12;64;36;126;389
TOTAL;53;"PROVINSI NUSA TENGGARA TIMUR";64;435;198;1121;1818;11133
