tanggal,kabupaten,nama_puskesmas,merah,kuning,hijau,hitam,total,diagnosis_catatan
2026-08-17,Sikka,Puskesmas Nita,0,0,1,0,1,
2026-08-17,Sikka,Puskesmas Paga,0,0,1,0,1,
2026-08-17,Sikka,Puskesmas Waigate,2,0,0,0,2,
2026-08-17,Sikka,Puskesmas Boganatar,0,0,2,0,2,
2026-08-17,Sikka,Puskesmas Bola,0,0,3,0,3,
2026-08-17,Sikka,Puskesmas Batu Baing,1,0,2,0,3,
2026-08-17,Sikka,Puskesmas Fewondari,0,0,5,0,5,
2026-08-17,Sikka,Puskesmas Waipare,0,0,1,0,1,
2026-08-17,Sikka,Puskesmas Tanah Rawa,0,0,3,0,3,
2026-08-17,Manggarai Timur,Puskesmas Dampek,0,11,0,0,11,
2026-08-17,Manggarai,Puskesmas Pagal,0,2,5,0,7,
2026-08-17,Manggarai,Puskesmas Narang,0,0,2,0,2,
2026-08-17,Manggarai,Puskesmas Todo,0,0,1,0,1,
2026-08-17,Ngada,Puskesmas Dona,0,0,2,0,2,
2026-08-17,Ngada,Puskesmas Inerie,1,0,0,0,1,
2026-08-17,Nagekeo,Puskesmas Boawae,3,0,13,1,17,
2026-08-17,Ende,Puskesmas Mukusaki,0,0,1,0,1,
2026-08-17,Ende,Puskesmas Maukaro,0,0,5,0,5,
2026-08-17,Ende,Puskesmas Detusoko,1,0,6,0,7,
2026-08-17,Ende,Puskesmas Wolowaru,0,0,1,0,1,
2026-08-17,Ende,Puskesmas Moni,0,0,2,0,2,
2026-08-17,Ende,Puskesmas Nangapanda,0,1,0,0,1,
2026-08-17,Manggarai Barat,Puskesmas Tentang,0,1,0,0,1,
2026-08-17,Manggarai Barat,Puskesmas Golo Welu,0,7,0,0,7,
2026-08-17,Manggarai Barat,Puskesmas Nanga Terang,1,4,0,1,6,
2026-08-17,Manggarai Barat,Puskesmas Compang,0,2,2,0,4,
2026-08-17,Manggarai Barat,Puskesmas Orong,0,5,3,0,8,
2026-08-17,Manggarai Barat,Puskesmas Wae Nakeng,0,1,1,0,2,
2026-08-17,Manggarai Barat,Puskesmas Bari,0,1,0,0,1,
2026-08-17,Manggarai Barat,Puskesmas Terang,0,0,4,0,4,
2026-08-17,Manggarai Barat,Puskesmas Labuan Bajo,0,0,6,0,6,
2026-08-17,Manggarai Barat,Puskesmas Wae Pitak,0,0,2,1,3,
2026-08-17,Manggarai Barat,Puskesmas Rego,0,0,1,0,1,
2026-08-17,Manggarai Barat,Puskesmas Benteng,0,0,1,0,1,
2026-08-17,Manggarai Barat,Puskesmas Werang,0,1,2,0,3,
2026-08-17,Manggarai Barat,Puskesmas Pacar,0,0,2,0,2,
