tanggal,kabupaten,puskesmas,jenis_penyakit,jumlah_kasus,kasus_baru
2026-08-26,"Kab. Manggarai","Posko & Faskes Kab. Manggarai","ISPA",3796,607
2026-08-26,"Kab. Manggarai","Posko & Faskes Kab. Manggarai","Hipertensi",1787,351
2026-08-26,"Kab. Manggarai","Posko & Faskes Kab. Manggarai","Diare",191,35
2026-08-26,"Kab. Manggarai","Posko & Faskes Kab. Manggarai","Diabetes Dewasa (> 18 Tahun)",188,23
2026-08-26,"Kab. Manggarai","Posko & Faskes Kab. Manggarai","Dermatitis (Penyakit Kulit)",166,33
2026-08-26,"Kab. Manggarai","Posko & Faskes Kab. Manggarai","Luka",113,23
2026-08-26,"Kab. Manggarai","Posko & Faskes Kab. Manggarai","Gigitan Hewan Penular Rabies",75,13
2026-08-26,"Kab. Manggarai","Posko & Faskes Kab. Manggarai","Fraktur",9,3
2026-08-26,"Kab. Manggarai","Posko & Faskes Kab. Manggarai","Diabetes Pada Anak (0-17 tahun)",5,3
2026-08-26,"Kab. Manggarai","Posko & Faskes Kab. Manggarai","Pneumonia",5,0
2026-08-26,"Kab. Manggarai","Posko & Faskes Kab. Manggarai","Suspek Demam Tifoid",2,1
2026-08-26,"Kab. Manggarai","Posko & Faskes Kab. Manggarai","Suspek Dengue",1,0
2026-08-26,"Kab. Nagekeo","Posko & Faskes Kab. Nagekeo","ISPA",1969,315
2026-08-26,"Kab. Nagekeo","Posko & Faskes Kab. Nagekeo","Hipertensi",927,182
2026-08-26,"Kab. Nagekeo","Posko & Faskes Kab. Nagekeo","Diare",99,18
2026-08-26,"Kab. Nagekeo","Posko & Faskes Kab. Nagekeo","Diabetes Dewasa (> 18 Tahun)",97,12
2026-08-26,"Kab. Nagekeo","Posko & Faskes Kab. Nagekeo","Dermatitis (Penyakit Kulit)",86,17
2026-08-26,"Kab. Nagekeo","Posko & Faskes Kab. Nagekeo","Luka",59,12
2026-08-26,"Kab. Nagekeo","Posko & Faskes Kab. Nagekeo","Gigitan Hewan Penular Rabies",39,7
2026-08-26,"Kab. Nagekeo","Posko & Faskes Kab. Nagekeo","Fraktur",5,1
